investor_id,sip_count,avg_gap_days,max_gap_days,total_sip_amount,is_at_risk
INV000260,8,59.57,206.0,139633,True
INV000262,8,53.57,122.0,47209,True
INV000263,8,68.43,271.0,157678,True
INV000265,10,53.44,140.0,203433,True
INV000268,7,62.33,143.0,79605,True
INV000279,9,43.38,133.0,61623,True
INV000280,9,55.75,191.0,145194,True
INV000283,6,68.0,195.0,24362,True
INV000287,7,69.83,301.0,64351,True
INV000289,8,62.71,142.0,81640,True
INV000291,6,89.0,196.0,76178,True
INV000292,7,46.0,95.0,123656,True
INV000293,7,47.0,91.0,70574,True
INV000297,6,90.6,163.0,22338,True
INV000299,6,85.2,240.0,45557,True
INV000304,7,70.0,204.0,79554,True
INV000309,8,52.0,157.0,63146,True
INV000310,7,75.83,164.0,46368,True
INV000318,6,97.4,175.0,69726,True
INV000319,7,73.5,201.0,40143,True
INV000321,7,72.83,204.0,91225,True
INV000328,9,37.5,73.0,64273,True
INV000331,8,50.71,163.0,124378,True
INV000334,7,25.5,60.0,43720,False
INV000335,6,96.0,279.0,68848,True
INV000339,6,94.0,195.0,74556,True
INV000341,8,54.43,191.0,76460,True
INV000356,6,54.4,157.0,72865,True
INV000359,9,54.12,197.0,93451,True
INV000363,7,77.0,153.0,59677,True
INV000369,6,43.8,112.0,22654,True
INV000371,8,59.29,147.0,71985,True
INV000372,7,54.5,121.0,89873,True
INV000380,6,97.0,272.0,72700,True
INV000388,9,53.62,119.0,109420,True
INV000392,7,77.17,205.0,39530,True
INV000395,7,55.67,119.0,23004,True
INV000396,6,83.2,153.0,46049,True
INV000399,10,49.56,68.0,58193,True
INV000400,6,62.6,101.0,21256,True
INV000403,6,58.2,90.0,74178,True
INV000407,6,82.4,157.0,112123,True
INV000408,6,46.8,125.0,47374,True
INV000412,8,43.71,70.0,87441,True
INV000414,8,66.29,233.0,95455,True
INV000415,7,66.17,128.0,42775,True
INV000418,6,86.8,238.0,113497,True
INV000427,7,68.5,116.0,106145,True
INV000428,8,52.14,164.0,54350,True
INV000429,6,77.2,187.0,117284,True
INV000437,6,97.8,295.0,32739,True
INV000440,8,69.57,162.0,33647,True
INV000441,6,60.8,151.0,45638,True
INV000444,6,73.2,129.0,76737,True
INV000445,9,57.75,129.0,52898,True
INV000446,6,38.6,101.0,31195,True
INV000449,6,46.8,70.0,59567,True
INV000452,9,49.38,123.0,84270,True
INV000457,6,91.4,256.0,32725,True
INV000460,6,43.4,107.0,35369,True
INV000463,7,65.17,181.0,144163,True
INV000466,7,73.33,135.0,125151,True
INV000467,10,56.67,272.0,65408,True
INV000469,7,70.5,183.0,34180,True
INV000483,8,70.43,252.0,142115,True
INV000491,6,95.0,202.0,43008,True
INV000493,10,47.56,201.0,130085,True
INV000497,7,71.83,191.0,72087,True
INV000499,7,77.83,157.0,127344,True
INV000507,7,70.17,249.0,58920,True
INV000512,9,54.75,112.0,73426,True
INV000522,6,100.8,309.0,28275,True
INV000524,7,55.0,91.0,118571,True
INV000527,6,50.8,116.0,115570,True
INV000529,6,59.2,110.0,23027,True
INV000531,7,47.0,82.0,151584,True
INV000539,7,77.0,153.0,107371,True
INV000540,7,73.5,123.0,78276,True
INV000543,7,83.67,218.0,162711,True
INV000545,6,80.6,181.0,48548,True
INV000546,9,55.0,154.0,92002,True
INV000547,6,55.8,140.0,37135,True
INV000549,6,96.2,146.0,86784,True
INV000553,6,72.0,172.0,54698,True
INV000554,6,70.2,171.0,56741,True
INV000556,8,52.43,156.0,126416,True
INV000562,6,74.4,197.0,48292,True
INV000563,7,76.33,198.0,59358,True
INV000566,7,35.0,119.0,120009,False
INV000567,6,63.8,166.0,33277,True
INV000568,6,62.4,180.0,106953,True
INV000570,8,67.29,186.0,136242,True
INV000573,7,50.83,154.0,114632,True
INV000575,6,71.6,155.0,43192,True
INV000578,7,66.83,164.0,91996,True
INV000581,7,78.33,160.0,58863,True
INV000586,7,44.5,111.0,138122,True
INV000589,9,59.12,90.0,69345,True
INV000591,7,64.5,112.0,15867,True
INV000593,6,74.2,179.0,31078,True
INV000596,9,51.75,140.0,169915,True
INV000597,6,88.6,198.0,82488,True
INV000599,7,81.5,171.0,103758,True
INV000607,7,66.67,209.0,38693,True
INV000608,6,100.2,324.0,45475,True
INV000609,6,47.0,87.0,44212,True
INV000612,11,49.3,169.0,123648,True
INV000615,7,55.83,139.0,29577,True
INV000624,7,31.67,53.0,131937,False
INV000625,6,86.4,134.0,23397,True
INV000630,7,68.67,161.0,55182,True
INV000631,6,54.0,145.0,45319,True
INV000634,9,52.25,147.0,98595,True
INV000635,6,75.0,240.0,30163,True
INV000641,6,54.8,126.0,92825,True
INV000642,9,53.5,139.0,109817,True
INV000645,6,66.0,127.0,26646,True
INV000646,7,62.33,138.0,76212,True
INV000651,6,94.0,304.0,34381,True
INV000652,6,93.8,262.0,34837,True
INV000657,8,64.71,106.0,103388,True
INV000662,8,66.14,185.0,34238,True
INV000663,6,94.4,247.0,83316,True
INV000665,10,36.22,148.0,56140,True
INV000667,6,68.0,134.0,117715,True
INV000673,6,92.8,235.0,145533,True
INV000675,6,62.8,155.0,23160,True
INV000676,11,35.3,106.0,174741,True
INV000678,7,63.33,140.0,36623,True
INV000683,9,54.5,137.0,47678,True
INV000690,8,56.29,134.0,169171,True
INV000691,6,66.4,163.0,50363,True
INV000698,9,52.25,219.0,77848,True
INV000699,6,42.8,147.0,51568,True
INV000701,7,83.67,298.0,51486,True
INV000707,9,34.38,106.0,50988,False
INV000709,7,65.17,128.0,143724,True
INV000710,6,88.6,264.0,62975,True
INV000714,9,37.0,95.0,47519,True
INV000718,7,57.83,118.0,52719,True
INV000719,7,72.83,185.0,131252,True
INV000724,6,81.2,227.0,33281,True
INV000725,7,67.67,92.0,89962,True
INV000734,8,64.0,180.0,108076,True
INV000737,6,92.6,168.0,146341,True
INV000747,6,84.6,205.0,86939,True
INV000750,9,26.5,84.0,95979,False
INV000751,9,53.0,193.0,42163,True
INV000754,7,72.33,103.0,97616,True
INV000759,7,83.0,156.0,44038,True
INV000761,7,75.17,173.0,115474,True
INV000768,8,60.0,124.0,81075,True
INV000772,6,46.0,81.0,88779,True
INV000774,7,73.67,169.0,83715,True
INV000776,8,59.43,116.0,40424,True
INV000777,6,66.0,121.0,20946,True
INV000778,8,59.71,182.0,99237,True
INV000779,6,75.0,153.0,12215,True
INV000783,6,89.8,187.0,138175,True
INV000785,6,32.6,66.0,29312,False
INV000786,9,64.12,199.0,73859,True
INV000789,8,55.14,225.0,110683,True
INV000793,8,69.14,149.0,105129,True
INV000803,7,77.17,147.0,75412,True
INV000814,6,94.0,195.0,111708,True
INV000822,7,55.5,141.0,68933,True
INV000823,7,39.67,69.0,49395,True
INV000827,8,58.29,122.0,46159,True
INV000830,6,72.2,165.0,77141,True
INV000833,8,67.29,182.0,88699,True
INV000836,6,84.8,123.0,127974,True
INV000843,6,55.6,102.0,49484,True
INV000844,7,66.17,151.0,48647,True
INV000847,6,47.8,75.0,20771,True
INV000853,10,49.33,193.0,61865,True
INV000854,9,61.25,170.0,149355,True
INV000858,9,44.88,157.0,70918,True
INV000862,6,91.2,372.0,119139,True
INV000864,6,40.8,106.0,72191,True
INV000865,9,45.75,99.0,164885,True
INV000869,6,65.4,100.0,29400,True
INV000873,7,73.5,299.0,44839,True
INV000874,9,62.12,149.0,38895,True
INV000877,6,59.4,159.0,116062,True
INV000881,10,46.11,155.0,61437,True
INV000887,7,65.67,268.0,115877,True
INV000888,7,80.33,166.0,98413,True
INV000893,7,59.5,147.0,93208,True
INV000894,6,55.0,105.0,36994,True
INV000901,6,54.0,95.0,36100,True
INV000907,6,59.2,139.0,26520,True
INV000920,6,75.6,220.0,97652,True
INV000926,6,80.0,111.0,67012,True
INV000929,7,58.17,116.0,150139,True
INV000930,8,32.43,118.0,92989,False
INV000935,9,30.88,73.0,152824,False
INV000939,8,60.57,154.0,69507,True
INV000942,7,53.0,92.0,138493,True
INV000949,7,67.5,135.0,49784,True
INV000950,6,91.0,215.0,37182,True
INV000971,7,46.83,139.0,38940,True
INV000974,7,73.5,143.0,40022,True
INV000977,10,48.78,147.0,129735,True
INV000979,6,79.8,115.0,141450,True
INV000980,8,44.43,121.0,208518,True
INV000981,6,50.4,104.0,68442,True
INV000986,7,60.83,182.0,166388,True
INV000994,6,63.8,167.0,55817,True
INV001001,8,60.29,137.0,67731,True
INV001002,7,41.67,85.0,38098,True
INV001005,6,93.6,206.0,74535,True
INV001008,7,64.67,191.0,63227,True
INV001013,6,96.8,164.0,81838,True
INV001017,6,67.0,142.0,27846,True
INV001019,9,44.88,180.0,62583,True
INV001021,7,68.67,186.0,54295,True
INV001023,8,72.43,202.0,38036,True
INV001025,6,38.8,76.0,77009,True
INV001026,6,69.4,132.0,51600,True
INV001037,10,42.0,86.0,73922,True
INV001039,6,66.2,187.0,19840,True
INV001041,7,83.0,195.0,72624,True
INV001047,7,66.17,142.0,52894,True
INV001048,8,47.0,84.0,36491,True
INV001051,8,54.14,139.0,57451,True
INV001053,8,55.86,116.0,46140,True
INV001055,6,93.2,177.0,77109,True
INV001060,9,53.38,89.0,113690,True
INV001061,9,51.12,141.0,99794,True
INV001063,8,43.29,120.0,30795,True
INV001064,9,59.5,160.0,151648,True
INV001069,8,41.29,98.0,96230,True
INV001070,6,97.0,329.0,103923,True
INV001092,7,77.33,186.0,75632,True
INV001099,8,26.14,63.0,135739,False
INV001102,7,55.33,87.0,87539,True
INV001115,6,81.4,290.0,51387,True
INV001116,9,58.12,194.0,74728,True
INV001117,8,61.71,137.0,53882,True
INV001130,7,76.83,131.0,139695,True
INV001137,7,57.0,120.0,35691,True
INV001140,6,60.4,125.0,39628,True
INV001141,6,97.6,132.0,34460,True
INV001142,7,42.83,106.0,60116,True
INV001156,6,102.4,175.0,51977,True
INV001160,8,57.57,99.0,45043,True
INV001161,6,80.6,159.0,146262,True
INV001163,7,67.33,255.0,33877,True
INV001167,6,96.2,207.0,78024,True
INV001170,6,68.2,119.0,70673,True
INV001173,6,67.0,146.0,58382,True
INV001178,7,79.67,140.0,37864,True
INV001180,6,74.4,198.0,104216,True
INV001181,8,67.43,163.0,91218,True
INV001190,6,97.0,198.0,45744,True
INV001195,8,53.43,167.0,127687,True
INV001196,6,92.2,169.0,61840,True
INV001202,8,58.0,103.0,54919,True
INV001206,6,83.6,190.0,76395,True
INV001208,7,51.83,107.0,68466,True
INV001210,9,36.88,93.0,84090,True
INV001217,8,60.14,205.0,99061,True
INV001219,8,50.86,118.0,90473,True
INV001220,7,77.17,104.0,18410,True
INV001223,7,70.83,175.0,81600,True
INV001234,8,60.57,119.0,91103,True
INV001235,9,59.0,161.0,125966,True
INV001237,6,98.0,182.0,66778,True
INV001238,7,68.5,220.0,45560,True
INV001242,6,69.8,128.0,26658,True
INV001251,6,82.0,223.0,142919,True
INV001262,7,44.83,116.0,135943,True
INV001274,7,73.33,161.0,56609,True
INV001275,7,66.67,140.0,51676,True
INV001282,6,67.0,196.0,50374,True
INV001287,6,92.2,157.0,74519,True
INV001288,7,45.67,148.0,127240,True
INV001291,6,76.2,181.0,118076,True
INV001295,9,50.75,165.0,66843,True
INV001298,7,71.83,158.0,13160,True
INV001299,9,51.25,121.0,67906,True
INV001304,6,97.6,177.0,127605,True
INV001308,9,54.62,147.0,145248,True
INV001310,6,81.2,232.0,48861,True
INV001314,10,50.44,130.0,196028,True
INV001315,7,51.83,124.0,62854,True
INV001316,6,92.4,198.0,14835,True
INV001317,6,84.8,162.0,29592,True
INV001318,10,46.22,150.0,112663,True
INV001326,8,69.43,182.0,103082,True
INV001329,6,68.2,97.0,60331,True
INV001331,6,94.2,202.0,31343,True
INV001332,7,80.0,179.0,56992,True
INV001333,7,78.67,185.0,11779,True
INV001336,8,65.86,198.0,94852,True
INV001348,7,47.83,121.0,91022,True
INV001351,7,70.5,208.0,146308,True
INV001355,6,60.2,187.0,41992,True
INV001356,6,79.2,191.0,39847,True
INV001359,7,72.5,313.0,109856,True
INV001361,7,50.5,103.0,99669,True
INV001367,6,99.0,222.0,71798,True
INV001375,7,78.5,176.0,46716,True
INV001376,7,78.67,181.0,66059,True
INV001383,8,56.14,117.0,80080,True
INV001387,9,57.25,130.0,111470,True
INV001394,8,63.57,171.0,127115,True
INV001400,6,76.8,266.0,111893,True
INV001401,6,68.6,197.0,39421,True
INV001406,10,47.67,202.0,71494,True
INV001407,6,45.2,141.0,49474,True
INV001415,8,68.14,173.0,48063,True
INV001418,6,88.6,187.0,27688,True
INV001419,6,85.8,137.0,67428,True
INV001423,8,48.57,105.0,64384,True
INV001428,6,79.4,174.0,72032,True
INV001432,6,71.4,175.0,22656,True
INV001434,6,80.6,178.0,73116,True
INV001442,9,57.12,238.0,67217,True
INV001454,7,73.0,176.0,37667,True
INV001455,8,64.71,153.0,47113,True
INV001457,6,43.8,63.0,85947,True
INV001458,7,59.83,101.0,78518,True
INV001466,6,44.6,82.0,102555,True
INV001472,6,79.0,141.0,119937,True
INV001482,6,80.6,280.0,84250,True
INV001485,9,55.0,150.0,113230,True
INV001491,6,98.8,260.0,37904,True
INV001497,9,63.0,138.0,77902,True
INV001504,9,54.25,134.0,131804,True
INV001507,6,86.2,167.0,24004,True
INV001510,7,66.83,124.0,113185,True
INV001514,7,51.83,72.0,150056,True
INV001516,6,56.8,85.0,106727,True
INV001526,6,50.4,134.0,45632,True
INV001530,7,64.67,122.0,18100,True
INV001532,7,56.83,101.0,82757,True
INV001536,7,69.0,189.0,108107,True
INV001545,6,92.8,208.0,85986,True
INV001547,7,72.17,119.0,75405,True
INV001548,6,80.6,197.0,71244,True
INV001550,7,79.0,191.0,85924,True
INV001551,6,61.8,131.0,18205,True
INV001562,10,44.22,146.0,66556,True
INV001564,8,55.71,157.0,74288,True
INV001569,6,83.4,314.0,84525,True
INV001579,7,75.0,193.0,133855,True
INV001580,7,45.67,119.0,85427,True
INV001585,6,56.6,182.0,61091,True
INV001587,7,65.0,144.0,72452,True
INV001597,7,56.0,165.0,99091,True
INV001599,6,58.2,133.0,52681,True
INV001602,6,93.8,294.0,66310,True
INV001603,7,54.5,93.0,64051,True
INV001605,8,60.57,136.0,161888,True
INV001606,7,67.67,148.0,95656,True
INV001616,9,53.0,117.0,153361,True
INV001623,6,92.0,188.0,62993,True
INV001625,6,72.0,209.0,15000,True
INV001628,8,51.71,139.0,111394,True
INV001629,7,67.5,82.0,34149,True
INV001631,6,57.0,101.0,9317,True
INV001636,9,48.88,159.0,35935,True
INV001641,6,88.4,168.0,77129,True
INV001644,6,65.6,89.0,123765,True
INV001645,6,67.6,202.0,48283,True
INV001649,10,51.67,120.0,113458,True
INV001651,7,78.67,130.0,162293,True
INV001653,6,55.2,94.0,76639,True
INV001654,7,56.0,137.0,108816,True
INV001656,8,59.86,246.0,78037,True
INV001662,6,60.2,147.0,67445,True
INV001672,9,34.0,130.0,90532,False
INV001673,11,49.3,181.0,81749,True
INV001680,9,58.88,200.0,47015,True
INV001683,7,72.5,186.0,80088,True
INV001689,6,83.6,153.0,59823,True
INV001690,7,81.17,114.0,62532,True
INV001691,6,82.0,254.0,40648,True
INV001694,8,66.14,144.0,146945,True
INV001697,9,62.5,287.0,118132,True
INV001699,6,83.2,183.0,103956,True
INV001709,6,51.8,84.0,50259,True
INV001711,7,65.83,189.0,26390,True
INV001712,6,66.6,144.0,66274,True
INV001715,8,68.29,188.0,103613,True
INV001718,6,84.0,237.0,151909,True
INV001724,7,69.67,134.0,87580,True
INV001728,8,50.57,131.0,142998,True
INV001737,7,56.83,191.0,103141,True
INV001738,9,47.5,153.0,157288,True
INV001739,9,52.5,96.0,113721,True
INV001741,6,89.4,260.0,94729,True
INV001744,7,78.5,155.0,84479,True
INV001752,7,69.33,170.0,50982,True
INV001753,11,42.8,128.0,111704,True
INV001757,8,55.57,121.0,16121,True
INV001759,10,49.56,126.0,108215,True
INV001769,6,98.0,166.0,28957,True
INV001772,6,95.0,184.0,113146,True
INV001775,8,29.14,65.0,92864,False
INV001777,9,57.62,156.0,115340,True
INV001778,8,63.57,283.0,54721,True
INV001797,7,79.67,132.0,45355,True
INV001800,7,49.67,132.0,100392,True
INV001802,7,61.67,151.0,99376,True
INV001803,6,59.0,127.0,29638,True
INV001804,8,55.86,126.0,97734,True
INV001806,8,60.0,209.0,98260,True
INV001809,6,95.6,249.0,66937,True
INV001811,9,54.25,196.0,234390,True
INV001822,6,19.8,43.0,43103,False
INV001823,8,58.14,172.0,30886,True
INV001826,6,51.2,128.0,43001,True
INV001828,8,44.43,91.0,57282,True
INV001831,6,72.8,181.0,47766,True
INV001837,7,62.83,157.0,75034,True
INV001841,6,56.2,129.0,48729,True
INV001853,8,47.43,95.0,158089,True
INV001858,8,55.14,261.0,111198,True
INV001865,7,63.5,145.0,37490,True
INV001866,6,58.8,117.0,52342,True
INV001870,7,76.0,164.0,151119,True
INV001871,7,55.0,101.0,104709,True
INV001883,6,99.2,203.0,16745,True
INV001885,6,71.2,128.0,16314,True
INV001886,9,50.75,129.0,73898,True
INV001890,6,102.6,207.0,7890,True
INV001891,6,96.4,261.0,22169,True
INV001909,8,62.14,121.0,77716,True
INV001912,6,86.4,256.0,72585,True
INV001920,7,39.0,76.0,111406,True
INV001921,8,68.57,225.0,94294,True
INV001923,7,80.67,106.0,42011,True
INV001924,7,59.17,119.0,95896,True
INV001927,6,58.8,91.0,42729,True
INV001929,6,66.2,242.0,67484,True
INV001937,8,60.43,253.0,52043,True
INV001938,9,43.0,112.0,46935,True
INV001943,6,74.4,171.0,63792,True
INV001950,7,60.17,134.0,88383,True
INV001951,7,58.83,124.0,39840,True
INV001954,6,86.8,273.0,38164,True
INV001955,6,76.0,199.0,80106,True
INV001961,6,83.4,234.0,87250,True
INV001969,6,79.2,163.0,22578,True
INV001971,8,54.71,87.0,96207,True
INV001972,8,42.43,153.0,147921,True
INV001978,6,83.2,112.0,33387,True
INV001979,6,55.4,100.0,78262,True
INV001982,6,85.8,289.0,118849,True
INV001986,7,47.67,98.0,93572,True
INV001987,7,67.0,241.0,101651,True
INV001990,8,45.29,91.0,60133,True
INV001993,6,56.6,147.0,42253,True
INV001995,6,48.6,94.0,76418,True
INV001997,6,88.6,168.0,23078,True
INV002001,6,84.8,335.0,35997,True
INV002006,6,73.6,157.0,56278,True
INV002010,6,74.6,103.0,111364,True
INV002017,7,44.67,99.0,48099,True
INV002018,6,63.6,106.0,22792,True
INV002019,6,68.8,117.0,50866,True
INV002025,7,55.83,92.0,52531,True
INV002033,7,55.0,123.0,43182,True
INV002034,8,69.0,166.0,75286,True
INV002037,6,33.2,61.0,58317,False
INV002038,6,84.0,202.0,89042,True
INV002051,6,78.6,159.0,101112,True
INV002052,7,44.17,114.0,143832,True
INV002069,10,47.56,95.0,82746,True
INV002070,7,81.33,118.0,70993,True
INV002083,10,51.67,193.0,142753,True
INV002085,6,65.0,220.0,89035,True
INV002090,6,90.2,231.0,38375,True
INV002092,7,33.5,54.0,63358,False
INV002101,6,80.2,248.0,71140,True
INV002102,6,44.8,63.0,90782,True
INV002107,8,71.14,298.0,100667,True
INV002111,8,62.43,123.0,84899,True
INV002119,6,78.0,195.0,82710,True
INV002121,7,68.5,197.0,69342,True
INV002122,7,40.33,97.0,66891,True
INV002127,6,60.2,113.0,66425,True
INV002134,7,82.67,180.0,29028,True
INV002138,6,91.8,189.0,20298,True
INV002142,9,45.5,162.0,118669,True
INV002143,8,63.57,148.0,73958,True
INV002149,8,42.29,215.0,71024,True
INV002150,6,73.6,216.0,57183,True
INV002151,9,60.38,201.0,185290,True
INV002153,7,67.83,194.0,28131,True
INV002154,6,89.4,175.0,42587,True
INV002155,6,78.0,190.0,24270,True
INV002157,7,58.5,142.0,66010,True
INV002159,6,65.0,104.0,57957,True
INV002162,9,58.38,198.0,176674,True
INV002166,6,99.2,248.0,88421,True
INV002171,7,55.83,150.0,55736,True
INV002177,7,73.0,330.0,93321,True
INV002178,8,66.43,236.0,66309,True
INV002179,8,54.14,171.0,77276,True
INV002182,7,70.5,148.0,127872,True
INV002185,6,48.4,92.0,87101,True
INV002186,7,74.83,167.0,110455,True
INV002187,7,67.83,221.0,51698,True
INV002195,9,49.25,154.0,141661,True
INV002196,8,62.14,115.0,123014,True
INV002198,9,43.0,93.0,50035,True
INV002199,7,50.83,94.0,22813,True
INV002202,8,70.43,276.0,16013,True
INV002206,7,49.0,141.0,119856,True
INV002208,7,71.33,142.0,113907,True
INV002211,7,63.83,109.0,75896,True
INV002216,8,61.71,172.0,122472,True
INV002218,6,67.8,181.0,78519,True
INV002219,8,70.86,166.0,41599,True
INV002228,6,68.6,109.0,75215,True
INV002229,6,64.6,101.0,113731,True
INV002230,8,57.57,171.0,170960,True
INV002232,7,69.17,174.0,105171,True
INV002236,7,73.67,119.0,38246,True
INV002237,7,51.67,142.0,61264,True
INV002240,7,77.83,266.0,28229,True
INV002241,7,65.67,124.0,40838,True
INV002251,6,62.6,157.0,140754,True
INV002256,6,75.6,115.0,86659,True
INV002259,7,45.33,89.0,139276,True
INV002260,6,77.8,235.0,43224,True
INV002265,7,63.17,244.0,74670,True
INV002277,7,67.33,127.0,58558,True
INV002280,7,71.67,182.0,48070,True
INV002282,6,53.2,102.0,90468,True
INV002284,6,85.0,277.0,113616,True
INV002290,6,61.6,112.0,49049,True
INV002294,8,48.71,163.0,93669,True
INV002295,7,64.5,159.0,97348,True
INV002298,6,23.2,37.0,79273,False
INV002304,10,42.56,104.0,88837,True
INV002315,7,71.83,174.0,71574,True
INV002319,7,60.0,123.0,77278,True
INV002322,6,63.4,102.0,54669,True
INV002327,6,76.4,215.0,17936,True
INV002329,7,57.0,183.0,94661,True
INV002342,6,74.2,212.0,43134,True
INV002343,9,57.75,115.0,97388,True
INV002347,9,40.5,79.0,30517,True
INV002348,6,94.4,166.0,43335,True
INV002349,6,52.2,75.0,31786,True
INV002351,6,77.2,204.0,66039,True
INV002357,7,68.33,240.0,77648,True
INV002360,9,56.12,129.0,147868,True
INV002361,6,55.4,198.0,123135,True
INV002367,7,52.5,134.0,52309,True
INV002368,7,61.17,215.0,36706,True
INV002369,6,60.0,136.0,142348,True
INV002370,7,70.17,237.0,89876,True
INV002372,6,95.2,133.0,55170,True
INV002373,8,70.14,154.0,177377,True
INV002374,6,21.2,34.0,87120,False
INV002384,10,39.11,92.0,107297,True
INV002388,6,33.2,84.0,109517,False
INV002389,10,50.78,126.0,37401,True
INV002390,6,47.0,100.0,90741,True
INV002391,6,40.2,124.0,59250,True
INV002395,6,97.0,225.0,58610,True
INV002400,9,55.38,141.0,37008,True
INV002401,8,59.14,125.0,30941,True
INV002402,7,47.17,89.0,91623,True
INV002407,7,47.83,167.0,68991,True
INV002409,8,55.57,125.0,88823,True
INV002413,8,53.0,189.0,63974,True
INV002415,8,57.43,110.0,96841,True
INV002417,7,83.33,190.0,126729,True
INV002418,6,91.6,128.0,34952,True
INV002420,6,72.8,107.0,54588,True
INV002422,10,50.33,139.0,78015,True
INV002429,6,78.6,216.0,95082,True
INV002434,6,88.2,217.0,38421,True
INV002437,7,49.17,212.0,180355,True
INV002445,8,38.14,117.0,93265,True
INV002453,7,63.0,87.0,76815,True
INV002458,6,72.4,232.0,80628,True
INV002459,8,53.71,161.0,40242,True
INV002463,6,95.4,236.0,43792,True
INV002464,6,35.4,97.0,50372,True
INV002466,7,80.67,270.0,96619,True
INV002467,8,38.86,116.0,200058,True
INV002471,6,56.4,98.0,65355,True
INV002475,10,49.67,119.0,65140,True
INV002476,6,86.0,235.0,74851,True
INV002485,6,70.4,136.0,58588,True
INV002490,8,70.0,125.0,221876,True
INV002495,6,82.2,174.0,64609,True
INV002496,6,53.0,156.0,28341,True
INV002497,8,67.29,152.0,105613,True
INV002508,9,51.62,171.0,128547,True
INV002509,10,33.67,74.0,117779,False
INV002510,7,64.33,176.0,83001,True
INV002521,6,74.6,206.0,46638,True
INV002527,7,49.67,93.0,9444,True
INV002530,8,71.43,175.0,74111,True
INV002531,7,76.33,182.0,30854,True
INV002543,7,74.67,116.0,90368,True
INV002547,6,89.0,181.0,19927,True
INV002552,10,48.22,184.0,117496,True
INV002554,7,49.67,100.0,51011,True
INV002555,7,72.0,172.0,87655,True
INV002557,7,67.17,264.0,32589,True
INV002558,6,97.6,297.0,52002,True
INV002560,6,95.2,155.0,25934,True
INV002563,6,65.8,114.0,18179,True
INV002567,6,82.0,127.0,51780,True
INV002568,8,61.57,144.0,138384,True
INV002570,7,62.0,150.0,26296,True
INV002572,8,55.71,108.0,126760,True
INV002574,6,79.4,139.0,98204,True
