amfi_code,fund_house,scheme_name,category,plan,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_max_pct,sharpe_ratio,sortino_ratio,beta,alpha_pct,r_squared,max_drawdown_pct,rank_3yr_cagr,rank_sharpe,rank_alpha,rank_expense,rank_max_dd,fund_score
149323,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,Regular,1.61,22.31,24.24,28.38,1.13,1.14,-0.0,34.91,0.0,-17.25,72.5,87.5,100.0,7.5,47.5,69.5
118632,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Regular,1.51,21.78,18.09,23.09,1.08,1.11,-0.01,23.38,0.0,-17.41,60.0,82.5,85.0,41.25,45.0,66.31
119552,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Direct,0.66,8.25,15.38,20.68,0.95,0.98,-0.01,18.6,0.0,-11.8,45.0,70.0,60.0,92.5,75.0,64.38
149324,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,Regular,1.52,62.08,25.03,30.97,0.95,0.99,0.0,23.3,0.0,-31.17,75.0,70.0,82.5,36.25,10.0,62.94
118633,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Direct,0.72,28.41,18.13,15.65,0.65,0.68,-0.0,19.21,0.0,-18.63,62.5,51.24999999999999,65.0,88.75,37.5,61.62
118635,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Direct,0.89,22.0,16.24,15.34,0.66,0.68,0.0,19.68,0.0,-11.65,47.5,55.00000000000001,67.5,70.0,77.5,59.75
125497,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Direct,0.92,29.35,17.71,18.28,0.78,0.81,-0.01,13.38,0.0,-15.2,57.49999999999999,57.49999999999999,42.5,67.5,57.49999999999999,56.0
120503,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Regular,1.42,4.81,14.8,18.05,0.8,0.82,0.01,19.06,0.0,-13.9,42.5,60.0,62.5,52.5,67.5,54.88
120506,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Regular,1.41,32.9,18.25,16.42,0.65,0.66,0.01,12.11,0.0,-19.83,65.0,51.24999999999999,40.0,55.00000000000001,35.0,52.06
148568,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Regular,1.52,10.5,13.08,21.63,0.93,0.95,0.0,17.96,0.0,-15.27,40.0,65.0,57.49999999999999,36.25,55.00000000000001,50.69
102887,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Regular,1.64,12.73,25.66,16.19,0.62,0.65,0.0,17.65,0.0,-21.54,78.75,47.5,55.00000000000001,3.75,27.500000000000004,49.81
102885,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Regular,1.57,18.32,17.52,17.52,0.82,0.84,0.0,9.65,0.0,-10.86,55.00000000000001,62.5,30.0,17.5,85.0,49.25
120507,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Regular,0.74,7.01,7.05,6.97,0.5,0.5,-0.0,6.71,0.0,-0.1,30.0,45.0,27.500000000000004,85.0,100.0,48.5
119093,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Direct,0.75,19.79,20.58,7.6,0.13,0.13,0.0,6.65,0.0,-21.75,67.5,30.0,25.0,82.5,25.0,47.62
125498,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Direct,0.78,16.67,12.49,10.87,0.3,0.3,-0.01,14.86,0.0,-21.12,37.5,35.0,47.5,77.5,30.0,44.12
149322,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,Regular,1.54,19.13,16.53,12.88,0.46,0.47,-0.0,11.82,0.0,-14.84,50.0,40.0,37.5,26.25,62.5,42.69
120841,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Regular,1.59,18.16,16.68,13.02,0.49,0.5,0.0,14.41,0.0,-17.57,52.5,42.5,45.0,15.0,42.5,41.88
120844,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Regular,0.6,6.84,6.54,6.66,-0.09,-0.09,0.0,6.36,0.0,-0.12,27.500000000000004,17.5,22.5,95.0,97.5,41.12
118634,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Regular,1.53,22.37,7.58,15.74,0.45,0.45,0.0,16.21,0.0,-23.34,32.5,37.5,52.5,31.25,22.5,36.56
118636,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Regular,0.55,10.62,4.15,5.12,-0.36,-0.35,-0.0,5.34,0.0,-8.32,17.5,7.5,17.5,100.0,87.5,34.38
100025,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Regular,0.56,2.5,4.61,4.29,-0.57,-0.57,-0.0,3.31,0.0,-4.31,20.0,5.0,10.0,97.5,92.5,33.12
101208,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Regular,0.79,6.85,6.08,6.27,-0.82,-0.79,0.0,6.07,0.01,-0.16,25.0,2.5,20.0,75.0,95.0,32.88
119120,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Regular,0.77,5.72,5.61,5.67,-0.23,-0.23,0.0,4.36,0.0,-4.33,22.5,10.0,12.5,80.0,90.0,32.75
120842,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Regular,1.56,18.61,10.04,6.45,0.08,0.07,-0.0,10.18,0.0,-24.0,35.0,27.500000000000004,32.5,20.0,20.0,28.88
101207,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Regular,1.53,-24.24,-2.7,7.64,0.16,0.17,-0.01,15.56,0.0,-35.45,5.0,32.5,50.0,31.25,7.5,25.06
119092,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Regular,1.64,3.4,0.56,6.13,0.03,0.03,-0.0,10.44,0.0,-14.4,15.0,25.0,35.0,3.75,65.0,24.81
119599,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Direct,0.72,11.91,-0.69,1.98,-0.06,-0.06,0.0,3.16,0.0,-52.57,10.0,22.5,7.5,88.75,2.5,23.69
119095,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,Regular,1.38,-45.42,-11.07,1.47,-0.08,-0.08,0.01,-1.23,0.0,-51.68,2.5,20.0,5.0,60.0,5.0,16.25
100016,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Regular,1.55,-3.31,-0.03,2.54,-0.2,-0.21,-0.0,4.41,0.0,-24.73,12.5,15.0,15.0,22.5,17.5,15.62
102886,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Regular,1.51,-13.23,-1.83,1.13,-0.21,-0.2,0.0,-1.25,0.0,-28.0,7.5,12.5,2.5,41.25,15.0,13.56
