amfi_code,var_95_daily_pct,cvar_95_daily_pct,var_95_ann_pct,cvar_95_ann_pct,std_daily_pct,observation_days,scheme_name,category,sub_category,risk_category
102887,-1.5232,-1.9411,-24.18,-30.81,0.9927,1149,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Moderately High
148568,-1.4712,-1.8765,-23.35,-29.79,0.9719,1149,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Large & Mid Cap,Moderately High
125497,-1.4592,-1.831,-23.16,-29.07,0.9241,1149,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Moderate
120843,-1.4508,-1.8381,-23.03,-29.18,1.0008,1149,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Moderately High
149322,-1.4474,-1.8402,-22.98,-29.21,0.9042,1149,DSP Top 100 Equity Fund - Regular - Growth,Equity,Large Cap,Moderate
120506,-1.4388,-1.9405,-22.84,-30.8,0.9594,1149,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Moderately High
100016,-1.4364,-1.806,-22.8,-28.67,0.9164,1149,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Moderate
119093,-1.4226,-1.7487,-22.58,-27.76,0.8809,1149,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Moderate
118632,-1.3954,-1.7619,-22.15,-27.97,0.8913,1149,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Moderate
119092,-1.375,-1.7328,-21.83,-27.51,0.8788,1149,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Moderate
120504,-1.3728,-1.7494,-21.79,-27.77,0.9048,1149,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Moderate
148567,-1.356,-1.7623,-21.53,-27.98,0.8941,1149,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap,Moderate
120503,-1.355,-1.7451,-21.51,-27.7,0.8746,1149,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Moderate
119552,-1.3501,-1.7336,-21.43,-27.52,0.8781,1149,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Moderate
118633,-1.3443,-1.663,-21.34,-26.4,0.8817,1149,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Moderate
101206,-1.3282,-1.7439,-21.08,-27.68,0.9177,1149,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Moderate
120841,-1.3142,-1.6363,-20.86,-25.98,0.8481,1149,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Moderate
119551,-1.2846,-1.6397,-20.39,-26.03,0.8656,1149,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Moderate
102885,-1.2613,-1.549,-20.02,-24.59,0.8086,1149,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Moderate
118635,-1.2554,-1.6177,-19.93,-25.68,0.8179,1149,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Moderate
119120,-0.3938,-0.5014,-6.25,-7.96,0.2499,1149,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Low
118636,-0.3804,-0.4919,-6.04,-7.81,0.2511,1149,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Low
100025,-0.3793,-0.4994,-6.02,-7.93,0.246,1149,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Low
120844,-0.0285,-0.0411,-0.45,-0.65,0.0323,1149,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Low
101208,-0.0269,-0.0422,-0.43,-0.67,0.0319,1149,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Low
120507,-0.0222,-0.0373,-0.35,-0.59,0.0311,1149,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Low
