investor_id,sip_count,first_sip_date,latest_sip_date,total_sip_amount,avg_sip_amount,avg_gap_days,max_gap_days,std_gap_days,is_at_risk,retention_status
INV000556,8,2024-03-07,2025-03-09,126416,15802.0,52.43,156.0,49.11,True,At-Risk
INV000562,6,2024-03-08,2025-03-15,48292,8048.67,74.4,197.0,90.55,True,At-Risk
INV000563,7,2024-02-13,2025-05-16,59358,8479.71,76.33,198.0,69.11,True,At-Risk
INV000566,7,2024-08-24,2025-03-22,120009,17144.14,35.0,119.0,43.04,False,Healthy Cadence
INV000567,6,2024-05-14,2025-03-29,33277,5546.17,63.8,166.0,74.78,True,At-Risk
INV000568,6,2024-03-13,2025-01-19,106953,17825.5,62.4,180.0,72.44,True,At-Risk
INV000570,8,2024-02-12,2025-05-28,136242,17030.25,67.29,186.0,63.27,True,At-Risk
INV000573,7,2024-01-27,2024-11-27,114632,16376.0,50.83,154.0,52.34,True,At-Risk
INV000575,6,2024-03-17,2025-03-10,43192,7198.67,71.6,155.0,66.23,True,At-Risk
INV000578,7,2024-04-21,2025-05-27,91996,13142.29,66.83,164.0,59.91,True,At-Risk
INV000581,7,2024-01-30,2025-05-14,58863,8409.0,78.33,160.0,63.25,True,At-Risk
INV000586,7,2024-01-23,2024-10-16,138122,19731.71,44.5,111.0,35.88,True,At-Risk
INV000589,9,2024-02-01,2025-05-19,69345,7705.0,59.12,90.0,30.06,True,At-Risk
INV000591,7,2024-04-15,2025-05-07,15867,2266.71,64.5,112.0,42.38,True,At-Risk
INV000593,6,2024-03-27,2025-04-02,31078,5179.67,74.2,179.0,66.78,True,At-Risk
INV000596,9,2024-02-01,2025-03-21,169915,18879.44,51.75,140.0,48.46,True,At-Risk
INV000597,6,2024-02-03,2025-04-21,82488,13748.0,88.6,198.0,77.14,True,At-Risk
INV000599,7,2024-01-13,2025-05-16,103758,14822.57,81.5,171.0,58.9,True,At-Risk
INV000607,7,2024-01-14,2025-02-17,38693,5527.57,66.67,209.0,82.82,True,At-Risk
INV000608,6,2024-01-09,2025-05-24,45475,7579.17,100.2,324.0,130.93,True,At-Risk
INV000609,6,2024-01-01,2024-08-23,44212,7368.67,47.0,87.0,35.7,True,At-Risk
INV000612,11,2024-01-16,2025-05-23,123648,11240.73,49.3,169.0,49.26,True,At-Risk
INV000615,7,2024-03-15,2025-02-13,29577,4225.29,55.83,139.0,57.71,True,At-Risk
INV000624,7,2024-01-31,2024-08-08,131937,18848.14,31.67,53.0,18.5,False,Healthy Cadence
INV000625,6,2024-03-22,2025-05-28,23397,3899.5,86.4,134.0,33.58,True,At-Risk
INV000630,7,2024-01-31,2025-03-18,55182,7883.14,68.67,161.0,56.22,True,At-Risk
INV000631,6,2024-03-06,2024-12-01,45319,7553.17,54.0,145.0,59.22,True,At-Risk
INV000634,9,2024-01-22,2025-03-15,98595,10955.0,52.25,147.0,43.34,True,At-Risk
INV000635,6,2024-03-13,2025-03-23,30163,5027.17,75.0,240.0,95.64,True,At-Risk
INV000641,6,2024-08-03,2025-05-04,92825,15470.83,54.8,126.0,53.45,True,At-Risk
INV000642,9,2024-03-19,2025-05-21,109817,12201.89,53.5,139.0,45.57,True,At-Risk
INV000645,6,2024-02-12,2025-01-07,26646,4441.0,66.0,127.0,54.37,True,At-Risk
INV000646,7,2024-05-17,2025-05-26,76212,10887.43,62.33,138.0,42.52,True,At-Risk
INV000651,6,2024-01-20,2025-05-04,34381,5730.17,94.0,304.0,130.23,True,At-Risk
INV000652,6,2024-02-09,2025-05-23,34837,5806.17,93.8,262.0,96.46,True,At-Risk
INV000657,8,2024-01-28,2025-04-25,103388,12923.5,64.71,106.0,31.53,True,At-Risk
INV000662,8,2024-01-02,2025-04-09,34238,4279.75,66.14,185.0,60.98,True,At-Risk
INV000663,6,2024-01-04,2025-04-20,83316,13886.0,94.4,247.0,94.91,True,At-Risk
INV000665,10,2024-05-22,2025-04-13,56140,5614.0,36.22,148.0,46.26,True,At-Risk
INV000667,6,2024-05-21,2025-04-26,117715,19619.17,68.0,134.0,54.11,True,At-Risk
INV000673,6,2024-01-13,2025-04-21,145533,24255.5,92.8,235.0,81.9,True,At-Risk
INV000675,6,2024-06-09,2025-04-19,23160,3860.0,62.8,155.0,63.86,True,At-Risk
INV000676,11,2024-05-10,2025-04-28,174741,15885.55,35.3,106.0,32.84,True,At-Risk
INV000678,7,2024-04-12,2025-04-27,36623,5231.86,63.33,140.0,44.74,True,At-Risk
INV000683,9,2024-01-08,2025-03-19,47678,5297.56,54.5,137.0,55.72,True,At-Risk
INV000690,8,2024-04-23,2025-05-22,169171,21146.38,56.29,134.0,37.58,True,At-Risk
INV000691,6,2024-01-27,2024-12-24,50363,8393.83,66.4,163.0,59.43,True,At-Risk
INV000698,9,2024-02-20,2025-04-13,77848,8649.78,52.25,219.0,72.61,True,At-Risk
INV000699,6,2024-03-27,2024-10-27,51568,8594.67,42.8,147.0,59.08,True,At-Risk
INV000701,7,2024-01-13,2025-05-29,51486,7355.14,83.67,298.0,107.35,True,At-Risk
INV000707,9,2024-08-07,2025-05-09,50988,5665.33,34.38,106.0,33.39,False,Healthy Cadence
INV000709,7,2024-02-07,2025-03-04,143724,20532.0,65.17,128.0,46.51,True,At-Risk
INV000710,6,2024-02-27,2025-05-15,62975,10495.83,88.6,264.0,101.25,True,At-Risk
INV000714,9,2024-06-07,2025-03-30,47519,5279.89,37.0,95.0,33.63,True,At-Risk
INV000718,7,2024-01-16,2024-12-28,52719,7531.29,57.83,118.0,47.22,True,At-Risk
INV000719,7,2024-02-29,2025-05-11,131252,18750.29,72.83,185.0,71.38,True,At-Risk
INV000724,6,2024-04-11,2025-05-22,33281,5546.83,81.2,227.0,98.37,True,At-Risk
INV000725,7,2024-03-14,2025-04-24,89962,12851.71,67.67,92.0,22.22,True,At-Risk
INV000734,8,2024-02-22,2025-05-15,108076,13509.5,64.0,180.0,63.31,True,At-Risk
INV000737,6,2024-01-31,2025-05-08,146341,24390.17,92.6,168.0,45.0,True,At-Risk
INV000747,6,2024-01-25,2025-03-23,86939,14489.83,84.6,205.0,94.4,True,At-Risk
INV000750,9,2024-08-03,2025-03-03,95979,10664.33,26.5,84.0,25.73,False,Healthy Cadence
INV000751,9,2024-03-29,2025-05-27,42163,4684.78,53.0,193.0,62.86,True,At-Risk
INV000754,7,2024-03-02,2025-05-10,97616,13945.14,72.33,103.0,28.42,True,At-Risk
INV000759,7,2024-01-08,2025-05-20,44038,6291.14,83.0,156.0,65.64,True,At-Risk
INV000761,7,2024-02-26,2025-05-22,115474,16496.29,75.17,173.0,67.93,True,At-Risk
INV000768,8,2024-01-17,2025-03-12,81075,10134.38,60.0,124.0,31.78,True,At-Risk
INV000772,6,2024-06-15,2025-01-31,88779,14796.5,46.0,81.0,31.68,True,At-Risk
INV000774,7,2024-02-16,2025-05-03,83715,11959.29,73.67,169.0,71.33,True,At-Risk
INV000776,8,2024-03-07,2025-04-27,40424,5053.0,59.43,116.0,34.14,True,At-Risk
INV000777,6,2024-03-05,2025-01-29,20946,3491.0,66.0,121.0,38.81,True,At-Risk
INV000778,8,2024-03-22,2025-05-14,99237,12404.62,59.71,182.0,61.48,True,At-Risk
INV000779,6,2024-03-21,2025-03-31,12215,2035.83,75.0,153.0,64.99,True,At-Risk
INV000783,6,2024-02-14,2025-05-08,138175,23029.17,89.8,187.0,72.78,True,At-Risk
INV000785,6,2024-10-10,2025-03-22,29312,4885.33,32.6,66.0,21.35,False,Healthy Cadence
INV000786,9,2024-01-01,2025-05-28,73859,8206.56,64.12,199.0,68.11,True,At-Risk
INV000789,8,2024-02-29,2025-03-21,110683,13835.38,55.14,225.0,76.27,True,At-Risk
INV000793,8,2024-01-14,2025-05-12,105129,13141.12,69.14,149.0,52.08,True,At-Risk
INV000803,7,2024-01-04,2025-04-11,75412,10773.14,77.17,147.0,40.9,True,At-Risk
INV000814,6,2024-01-15,2025-04-29,111708,18618.0,94.0,195.0,66.74,True,At-Risk
INV000822,7,2024-02-02,2024-12-31,68933,9847.57,55.5,141.0,52.34,True,At-Risk
INV000823,7,2024-02-21,2024-10-16,49395,7056.43,39.67,69.0,26.29,True,At-Risk
INV000827,8,2024-04-05,2025-05-18,46159,5769.88,58.29,122.0,39.57,True,At-Risk
INV000830,6,2024-04-21,2025-04-17,77141,12856.83,72.2,165.0,70.86,True,At-Risk
INV000833,8,2024-01-08,2025-04-23,88699,11087.38,67.29,182.0,78.23,True,At-Risk
INV000836,6,2024-01-01,2025-02-28,127974,21329.0,84.8,123.0,26.69,True,At-Risk
INV000843,6,2024-05-01,2025-02-03,49484,8247.33,55.6,102.0,43.35,True,At-Risk
INV000844,7,2024-02-09,2025-03-12,48647,6949.57,66.17,151.0,56.88,True,At-Risk
INV000847,6,2024-05-28,2025-01-22,20771,3461.83,47.8,75.0,22.06,True,At-Risk
INV000853,10,2024-01-22,2025-04-10,61865,6186.5,49.33,193.0,59.84,True,At-Risk
INV000854,9,2024-01-05,2025-05-09,149355,16595.0,61.25,170.0,62.2,True,At-Risk
INV000858,9,2024-04-27,2025-04-21,70918,7879.78,44.88,157.0,47.99,True,At-Risk
INV000862,6,2024-02-13,2025-05-14,119139,19856.5,91.2,372.0,157.56,True,At-Risk
INV000864,6,2024-01-16,2024-08-07,72191,12031.83,40.8,106.0,36.92,True,At-Risk
INV000865,9,2024-04-15,2025-04-16,164885,18320.56,45.75,99.0,34.95,True,At-Risk
INV000869,6,2024-02-27,2025-01-19,29400,4900.0,65.4,100.0,40.69,True,At-Risk
INV000873,7,2024-02-09,2025-04-25,44839,6405.57,73.5,299.0,113.51,True,At-Risk
INV000874,9,2024-01-04,2025-05-15,38895,4321.67,62.12,149.0,54.1,True,At-Risk
INV000877,6,2024-06-21,2025-04-14,116062,19343.67,59.4,159.0,62.25,True,At-Risk
INV000881,10,2024-01-10,2025-02-28,61437,6143.7,46.11,155.0,45.98,True,At-Risk
INV000887,7,2024-01-28,2025-02-25,115877,16553.86,65.67,268.0,102.08,True,At-Risk
INV000888,7,2024-01-27,2025-05-23,98413,14059.0,80.33,166.0,64.41,True,At-Risk
INV000893,7,2024-02-05,2025-01-27,93208,13315.43,59.5,147.0,48.45,True,At-Risk
INV000894,6,2024-07-26,2025-04-27,36994,6165.67,55.0,105.0,39.27,True,At-Risk
INV000901,6,2024-05-23,2025-02-17,36100,6016.67,54.0,95.0,30.78,True,At-Risk
INV000907,6,2024-04-08,2025-01-29,26520,4420.0,59.2,139.0,49.66,True,At-Risk
INV000920,6,2024-01-31,2025-02-12,97652,16275.33,75.6,220.0,84.5,True,At-Risk
INV000926,6,2024-01-05,2025-02-08,67012,11168.67,80.0,111.0,36.47,True,At-Risk
INV000929,7,2024-03-28,2025-03-12,150139,21448.43,58.17,116.0,37.48,True,At-Risk
INV000930,8,2024-07-19,2025-03-03,92989,11623.62,32.43,118.0,39.51,False,Healthy Cadence
INV000935,9,2024-02-12,2024-10-16,152824,16980.44,30.88,73.0,27.81,False,Healthy Cadence
INV000939,8,2024-02-23,2025-04-22,69507,8688.38,60.57,154.0,46.29,True,At-Risk
INV000942,7,2024-03-09,2025-01-21,138493,19784.71,53.0,92.0,29.6,True,At-Risk
INV000949,7,2024-04-03,2025-05-13,49784,7112.0,67.5,135.0,51.21,True,At-Risk
INV000950,6,2024-02-26,2025-05-26,37182,6197.0,91.0,215.0,83.59,True,At-Risk
INV000971,7,2024-08-08,2025-05-16,38940,5562.86,46.83,139.0,54.78,True,At-Risk
INV000974,7,2024-01-06,2025-03-22,40022,5717.43,73.5,143.0,52.64,True,At-Risk
INV000977,10,2024-01-13,2025-03-27,129735,12973.5,48.78,147.0,48.94,True,At-Risk
