amfi_code,scheme_name,fund_house,category,plan,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_max_pct,sharpe_ratio,sortino_ratio,beta,alpha_pct,r_squared,max_drawdown_pct,worst_dd_start,worst_dd_end,rank_3yr_cagr,rank_sharpe,rank_alpha,rank_expense,rank_max_dd,fund_score,performance_tier
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,1.51,34.007895823651204,22.646647456747715,24.049492662391756,1.0816591793457044,1.6508256423956282,-0.01735884176791745,23.178974178516967,0.0064139667629261035,-17.41407508665723,2024-01-02,2024-07-19,67.5,82.5,82.5,41.25,45.0,68.0625,Tier 2 (Good)
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,1.43,82.85157468100046,26.66309129954312,32.423536152454616,0.9453082575156094,1.4376388223148475,0.0015563469161855076,32.96880955931598,1.669364201851965e-05,-28.706005721764548,2024-08-28,2025-05-14,72.5,67.5,97.5,50.0,12.5,66.875,Tier 2 (Good)
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,0.66,5.7101178520777784,16.263375081360643,21.524235873769705,0.9532794968660105,1.4541268236348397,-0.012215552243518326,18.338631552726202,0.003298616007822787,-11.803493502764296,2024-05-21,2024-09-02,45.0,72.5,60.0,92.5,75.0,65.0,Tier 2 (Good)
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,1.52,65.19546577826334,26.99350260734621,32.287440451573616,0.9497958246616032,1.4399937550061566,0.006091851666956238,23.35347468066928,0.00026620942974234273,-31.171900300634213,2024-05-03,2025-01-03,77.5,70.0,85.0,36.25,10.0,64.1875,Tier 2 (Good)
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Direct,0.89,22.510248103762276,20.00321571698329,15.957231179671737,0.664856998549062,1.0022889920399096,0.003054773086750558,19.731287234234987,0.00024370647258650072,-11.650624505409091,2022-01-03,2022-06-09,60.0,55.00000000000001,67.5,70.0,77.5,63.5,Tier 2 (Good)
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Direct,0.72,25.559539940517382,21.084691029380597,16.274217354504273,0.6452074382933216,0.9919803349486759,-0.0018272238930145698,19.137096268294187,7.453204629575257e-05,-18.62974313859551,2023-10-30,2024-02-29,65.0,50.0,62.5,88.75,37.5,61.5625,Tier 2 (Good)
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Direct,0.92,28.6975804558778,18.429918008610045,19.017795344711462,0.7757902498211209,1.1755131608559675,-0.005827789385648643,12.86373933697686,0.0006889686297924205,-15.200013055606398,2023-12-22,2025-01-01,55.00000000000001,57.49999999999999,42.5,67.5,57.49999999999999,55.25,Tier 3 (Average)
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,1.42,8.495135972254552,13.974980348212673,18.785325598262204,0.7979728586052847,1.2050179650142854,0.009077575681671616,19.3515877958834,0.0018918958082007084,-13.897862823061635,2023-09-19,2023-11-09,40.0,60.0,65.0,52.5,67.5,54.625,Tier 3 (Average)
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,1.52,14.279834500870736,14.744434832760533,22.516869007113847,0.9262873467360146,1.4118631079220283,-0.0020909044127088473,18.225731542381247,8.058547178817821e-05,-15.27259422823477,2023-09-05,2024-01-24,42.5,65.0,57.49999999999999,36.25,55.00000000000001,51.4375,Tier 3 (Average)
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,1.57,20.222858595384665,19.662361245910965,18.23237888770595,0.8170993373494371,1.2464519410258206,-0.004424072397527815,9.917699960618794,0.0005176381949102959,-10.85986215250232,2022-02-03,2022-03-29,57.49999999999999,62.5,30.0,17.5,85.0,50.0,Tier 3 (Average)
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,1.41,41.85299002066023,18.417429266835228,17.08486725575018,0.6488787755249532,0.9727307671095344,0.013929056695894483,12.400794508392973,0.0036533846603176872,-19.82565826298267,2023-03-31,2023-08-14,52.5,52.5,40.0,55.00000000000001,35.0,48.625,Tier 3 (Average)
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Regular,0.74,7.430320855847317,7.392538786263403,7.237539728384412,0.49572339295331147,1.5507993283607961,-6.761169375257042e-05,6.7001034440881675,8.347675971897206e-05,-0.09773140045925555,2025-10-16,2025-10-20,30.0,45.0,27.500000000000004,85.0,100.0,48.5,Tier 3 (Average)
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,1.64,13.59304393755194,25.549670172502026,16.84112024730753,0.6195175900829829,0.9398298874912686,0.0005191660322181368,17.731219490995468,4.72084490609006e-06,-21.539827112383225,2022-01-03,2022-07-04,70.0,47.5,55.00000000000001,3.75,27.500000000000004,47.1875,Tier 3 (Average)
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Direct,0.75,19.781538524100494,20.8115598266319,7.897557854375958,0.1296144979566933,0.18882194102859415,-0.0026414351284296676,6.690467982928289,0.0001532435690813777,-21.751396370148225,2022-02-24,2023-05-22,62.5,30.0,25.0,82.5,25.0,46.125,Tier 3 (Average)
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Direct,0.78,15.455077019290385,11.242518737374208,11.301817123279978,0.3006119210425479,0.43764655952889187,-0.00915463873043037,14.338357778209796,0.0010994628681060923,-21.11727956013212,2025-04-04,2025-09-12,37.5,35.0,45.0,77.5,30.0,43.625,Tier 3 (Average)
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,1.54,18.12461925339035,18.03973982038829,13.393275924001857,0.4640374492204777,0.6847169077678108,-0.0036191489972775322,11.797862284160104,0.00027663040322620344,-14.844576917771747,2022-01-03,2022-02-04,50.0,40.0,37.5,26.25,62.5,42.6875,Tier 3 (Average)
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Regular,0.6,7.125369741102916,6.694394239074852,6.915272985067156,-0.08874729621557495,-0.2619536721038787,0.0004351311464186587,6.365531232468527,0.0031324793632351365,-0.11629327956168556,2024-04-12,2024-04-30,27.500000000000004,17.5,22.5,95.0,97.5,41.125,Tier 3 (Average)
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,1.59,16.849551529398422,17.263014444437943,13.53221114899239,0.4942725378672354,0.7380768130191769,-0.006674162803656947,14.589949321341441,0.0010760409568713939,-17.57361416468729,2024-01-09,2025-02-14,47.5,42.5,47.5,15.0,42.5,40.875,Tier 3 (Average)
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,1.53,15.822866445588701,8.0060298597036,16.373474033415757,0.44843400890899143,0.6555205080066595,0.003383055945126002,16.390346441129,7.720862382294519e-05,-23.34488614483311,2025-04-09,2026-02-20,35.0,37.5,52.5,31.25,22.5,37.3125,Tier 4 (Underperforming)
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Regular,0.55,10.462462788080341,4.061259859840338,5.316889625171273,-0.3566295075143679,-0.5405776227662099,0.0026020670114321417,5.172911001164382,0.0018409235937339684,-8.316361763638703,2023-02-09,2024-02-09,20.0,7.5,17.5,100.0,87.5,35.125,Tier 4 (Underperforming)
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Regular,0.77,5.525880326360788,5.838988442093762,5.889418716346717,-0.2265753866279158,-0.34554399630861055,-0.0013504443424830815,4.417701458067006,0.0005073808524995759,-4.328728923970093,2024-09-16,2025-04-01,22.5,10.0,15.0,80.0,90.0,33.25,Tier 4 (Underperforming)
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Regular,0.79,7.241777200393584,6.314299292105274,6.509026855465327,-0.8155673679088286,-2.2791746489194535,6.562277755536343e-06,6.096055149799463,7.265026387067265e-07,-0.16224980244717857,2023-09-05,2023-09-12,25.0,2.5,20.0,75.0,95.0,32.875,Tier 4 (Underperforming)
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Regular,0.56,3.7075527018896492,3.9154793546847033,4.458209619173137,-0.5670947928476847,-0.8497243441668115,0.0007212634718448771,3.2765481873035798,0.00014716536037897757,-4.308263824636349,2023-05-23,2023-07-28,17.5,5.0,10.0,97.5,92.5,32.375,Tier 4 (Underperforming)
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,1.56,22.518986942465922,7.75416750547262,6.701543482038463,0.07599984804658912,0.10889768341605663,-0.005802732239030418,9.959047723528032,0.0004626488927667975,-24.003511326274886,2023-11-09,2024-10-17,32.5,27.500000000000004,32.5,20.0,20.0,28.125,Tier 4 (Underperforming)
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,1.53,-24.000309180292632,-4.151453816140693,7.938764837247714,0.16266076928646758,0.2361979840465916,-0.01821625029756839,15.155307163064224,0.0021959753639057074,-35.44691649336603,2024-11-21,2026-05-11,5.0,32.5,50.0,31.25,7.5,25.0625,Tier 4 (Underperforming)
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,1.64,1.61022963455828,0.5257668501786883,6.367989237605243,0.030784850954585913,0.04496545368477706,-0.0003885385513520212,10.230328437488732,3.399151173482171e-06,-14.401617909337261,2023-10-12,2025-02-07,12.5,25.0,35.0,3.75,65.0,24.0625,Tier 4 (Underperforming)
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,0.72,13.957994357447735,-1.337083602283895,2.054484701809378,-0.05718662582818005,-0.0813185540448672,0.020414653023288695,3.0738839910444793,0.0029579164970521105,-52.57422117012851,2023-01-17,2025-10-28,7.5,22.5,7.5,88.75,2.5,22.9375,Tier 4 (Underperforming)
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,1.38,-42.81949516662213,-11.703299329834216,1.5215045330823962,-0.07597357117478937,-0.10904599553811932,-0.015736496687877913,-0.6370265075484246,0.0017469029203041094,-51.677753708526566,2025-05-22,2026-05-11,2.5,20.0,5.0,60.0,5.0,16.25,Tier 4 (Underperforming)
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Regular,1.55,-2.2257773892688015,1.2923525892154508,2.637074367211101,-0.20151706755966933,-0.2936836836094664,-0.00045640394839275894,4.331888719446251,4.221423653893803e-06,-24.734440880673304,2022-03-30,2022-09-15,15.0,15.0,12.5,22.5,17.5,15.875,Tier 4 (Underperforming)
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,1.51,-16.807959958672036,-0.7672319440258146,1.1717454918341197,-0.20583160785470306,-0.2920655874706217,0.0031724711664758605,-1.2389022646364367,0.00013345664447478105,-28.00112356639287,2025-01-07,2026-04-27,10.0,12.5,2.5,41.25,15.0,14.3125,Tier 4 (Underperforming)
